txn_id,customer_id,product_id,ts,date,month,country,region,category,status,currency,amount,amount_usd
t0014824,c01763,p0052,2025-01-02 15:05:00+00:00,2025-01-02,2025-01,DE,EU,beauty,paid,USD,66.49,66.49
t0021608,c03420,p0055,2025-01-02 15:42:00+00:00,2025-01-02,2025-01,PE,LATAM,home,paid,BRL,230.76,41.5368
t0012846,c00253,p0007,2025-01-02 16:12:00+00:00,2025-01-02,2025-01,FR,EU,electronics,refunded,EUR,104.81,113.19480000000001
t0013088,c01105,p0096,2025-01-02 16:19:00+00:00,2025-01-02,2025-01,SE,EU,clothing,paid,EUR,1078.47,1164.7476000000001
t0004873,c02793,p0086,2025-01-02 16:33:00+00:00,2025-01-02,2025-01,ES,EU,books,paid,USD,15.31,15.31
t0003021,c02614,p0057,2025-01-02 16:33:00+00:00,2025-01-02,2025-01,ES,EU,electronics,paid,USD,70.9,70.9
t0013658,c00158,p0048,2025-01-02 19:08:00+00:00,2025-01-02,2025-01,ES,EU,clothing,paid,USD,92.58,92.58
t0004268,c01938,p0012,2025-01-02 19:24:00+00:00,2025-01-02,2025-01,CA,,sports,paid,USD,162.49,162.49
t0018008,c02245,p0098,2025-01-02 19:32:00+00:00,2025-01-02,2025-01,CA,,clothing,paid,EUR,97.77,105.5916
t0003245,c01044,p0112,2025-01-02 19:32:00+00:00,2025-01-02,2025-01,US,,electronics,paid,EUR,228.84,247.14720000000003
t0004582,c00352,p0118,2025-01-02 20:23:00+00:00,2025-01-02,2025-01,CA,,electronics,refunded,EUR,223.5,241.38000000000002
t0007529,c00786,p0073,2025-01-02 20:35:00+00:00,2025-01-02,2025-01,BR,LATAM,electronics,paid,USD,218.72,218.72
t0021624,c00510,p0045,2025-01-02 21:03:00+00:00,2025-01-02,2025-01,BR,LATAM,books,paid,EUR,25.13,27.1404
t0016311,c02355,p0107,2025-01-02 21:10:00+00:00,2025-01-02,2025-01,US,,clothing,paid,BRL,48.41,8.713799999999999
t0018684,c02976,p0022,2025-01-02 21:14:00+00:00,2025-01-02,2025-01,US,,electronics,paid,USD,99.3,99.3
t0005984,c02480,p0090,2025-01-02 21:21:00+00:00,2025-01-02,2025-01,IT,EU,clothing,paid,USD,59.45,59.45
t0002420,c01493,p0083,2025-01-02 21:23:00+00:00,2025-01-02,2025-01,BR,LATAM,books,paid,USD,21.87,21.87
t0021488,c03045,p0087,2025-01-02 21:28:00+00:00,2025-01-02,2025-01,FR,EU,beauty,paid,EUR,49.5,53.46
t0017167,c00447,p0061,2025-01-02 21:30:00+00:00,2025-01-02,2025-01,CO,LATAM,clothing,refunded,USD,83.13,83.13
t0011911,c02817,p0062,2025-01-02 21:37:00+00:00,2025-01-02,2025-01,US,,books,paid,USD,8.35,8.35
t0015647,c02453,p0049,2025-01-02 21:38:00+00:00,2025-01-02,2025-01,ES,EU,home,paid,USD,105.73,105.73
t0015410,c00143,p0005,2025-01-02 21:44:00+00:00,2025-01-02,2025-01,FR,EU,electronics,paid,USD,283.32,283.32
t0013935,c00919,p0102,2025-01-02 21:45:00+00:00,2025-01-02,2025-01,SE,EU,home,cancelled,USD,143.64,143.64
t0004352,c01030,p0040,2025-01-02 21:49:00+00:00,2025-01-02,2025-01,FR,EU,clothing,paid,USD,28.27,28.27
t0019302,c01665,p0032,2025-01-02 22:16:00+00:00,2025-01-02,2025-01,FR,EU,electronics,paid,MXN,72.4,4.1992
t0007235,c02366,p0076,2025-01-02 22:27:00+00:00,2025-01-02,2025-01,PE,LATAM,beauty,refunded,USD,87.03,87.03
t0006443,c00633,p0081,2025-01-02 22:45:00+00:00,2025-01-02,2025-01,CL,LATAM,toys,paid,EUR,22.71,24.5268
t0004307,c02216,p0006,2025-01-02 22:46:00+00:00,2025-01-02,2025-01,MX,LATAM,electronics,paid,USD,198.9,198.9
t0006852,c02772,p0008,2025-01-02 22:57:00+00:00,2025-01-02,2025-01,CA,,toys,paid,USD,14.41,14.41
t0004920,c00331,p0104,2025-01-02 23:29:00+00:00,2025-01-02,2025-01,AR,LATAM,clothing,paid,EUR,71.21,76.9068
t0000863,c01916,p0049,2025-01-02 23:37:00+00:00,2025-01-02,2025-01,CO,LATAM,home,refunded,EUR,65.93,71.2044
t0010039,c02452,p0120,2025-01-03 02:20:00+00:00,2025-01-03,2025-01,AR,LATAM,clothing,cancelled,USD,31.29,31.29
t0018735,c00208,p0104,2025-01-03 02:38:00+00:00,2025-01-03,2025-01,IT,EU,clothing,paid,USD,73.62,73.62
t0004752,c02792,p0101,2025-01-03 06:07:00+00:00,2025-01-03,2025-01,PE,LATAM,electronics,paid,USD,420.74,420.74
t0012106,c00227,p0040,2025-01-03 06:24:00+00:00,2025-01-03,2025-01,ES,EU,clothing,paid,USD,47.31,47.31
t0008051,c02221,p0069,2025-01-03 06:59:00+00:00,2025-01-03,2025-01,PT,EU,electronics,cancelled,USD,149.21,149.21
t0019851,c01251,p0049,2025-01-03 07:26:00+00:00,2025-01-03,2025-01,FR,EU,home,paid,USD,292.91,292.91
t0014799,c01531,p0023,2025-01-03 07:31:00+00:00,2025-01-03,2025-01,US,,books,refunded,USD,18.74,18.74
t0018991,c02500,p0117,2025-01-03 07:32:00+00:00,2025-01-03,2025-01,US,,beauty,paid,MXN,27.33,1.58514
t0016271,c02527,p0016,2025-01-03 07:46:00+00:00,2025-01-03,2025-01,AR,LATAM,electronics,paid,MXN,158.01,9.164579999999999
t0002762,c02447,p0060,2025-01-03 08:25:00+00:00,2025-01-03,2025-01,MX,LATAM,books,paid,BRL,11.62,2.0915999999999997
t0001265,c01870,p0106,2025-01-03 09:06:00+00:00,2025-01-03,2025-01,MX,LATAM,books,paid,USD,24.71,24.71
t0013806,c00786,p0018,2025-01-03 09:08:00+00:00,2025-01-03,2025-01,BR,LATAM,clothing,refunded,USD,36.98,36.98
t0012885,c00495,p0071,2025-01-03 09:20:00+00:00,2025-01-03,2025-01,US,,beauty,paid,USD,47.41,47.41
t0001123,c00865,p0017,2025-01-03 09:50:00+00:00,2025-01-03,2025-01,PE,LATAM,books,paid,BRL,22.94,4.1292
t0016644,c01516,p0096,2025-01-03 10:03:00+00:00,2025-01-03,2025-01,ES,EU,clothing,paid,EUR,20.0,21.6
t0000178,c01438,p0075,2025-01-03 10:16:00+00:00,2025-01-03,2025-01,PT,EU,beauty,paid,EUR,57.01,61.5708
t0011548,c03312,p0119,2025-01-03 10:24:00+00:00,2025-01-03,2025-01,US,,toys,refunded,EUR,28.64,30.931200000000004
t0017853,c00237,p0099,2025-01-03 10:27:00+00:00,2025-01-03,2025-01,US,,electronics,paid,EUR,461.08,497.9664
t0008549,c03382,p0031,2025-01-03 10:33:00+00:00,2025-01-03,2025-01,NL,EU,home,paid,USD,37.36,37.36
t0018871,c03036,p0002,2025-01-03 10:40:00+00:00,2025-01-03,2025-01,US,,sports,paid,EUR,20.54,22.1832
t0002313,c02269,p0045,2025-01-03 11:00:00+00:00,2025-01-03,2025-01,US,,books,refunded,USD,40.49,40.49
t0006665,c01979,p0065,2025-01-03 11:05:00+00:00,2025-01-03,2025-01,,,books,paid,EUR,22.55,24.354000000000003
t0014442,c02702,p0053,2025-01-03 11:25:00+00:00,2025-01-03,2025-01,SE,EU,sports,paid,EUR,39.27,42.41160000000001
t0019437,c01760,p0024,2025-01-03 11:33:00+00:00,2025-01-03,2025-01,US,,books,refunded,USD,13.06,13.06
t0012016,c02001,p0085,2025-01-03 11:36:00+00:00,2025-01-03,2025-01,CL,LATAM,books,paid,USD,14.42,14.42
t0011392,c00484,p0037,2025-01-03 11:49:00+00:00,2025-01-03,2025-01,CA,,books,refunded,USD,23.66,23.66
t0010632,c02804,p0017,2025-01-03 11:52:00+00:00,2025-01-03,2025-01,,,books,cancelled,EUR,46.27,49.97160000000001
t0020621,c00370,p0016,2025-01-03 11:52:00+00:00,2025-01-03,2025-01,PE,LATAM,electronics,paid,EUR,260.53,281.37239999999997
t0000802,c00840,p0104,2025-01-03 11:56:00+00:00,2025-01-03,2025-01,IT,EU,clothing,paid,EUR,21.63,23.360400000000002
t0019138,c02185,p0067,2025-01-03 12:10:00+00:00,2025-01-03,2025-01,CL,LATAM,electronics,refunded,BRL,481.92,86.7456
t0021080,c03335,p0012,2025-01-03 12:11:00+00:00,2025-01-03,2025-01,MX,LATAM,sports,paid,EUR,78.93,85.24440000000001
t0015964,c00327,p0092,2025-01-03 12:37:00+00:00,2025-01-03,2025-01,US,,beauty,paid,EUR,31.99,34.5492
t0000911,c03369,p0082,2025-01-03 12:45:00+00:00,2025-01-03,2025-01,AR,LATAM,home,paid,USD,151.76,151.76
t0008364,c02246,p0014,2025-01-03 13:16:00+00:00,2025-01-03,2025-01,MX,LATAM,books,paid,EUR,36.39,39.3012
t0010146,c01086,p0080,2025-01-03 13:44:00+00:00,2025-01-03,2025-01,CL,LATAM,electronics,paid,USD,169.54,169.54
t0021998,c02544,p0097,2025-01-03 14:07:00+00:00,2025-01-03,2025-01,CA,,clothing,paid,EUR,133.51,144.1908
t0019359,c01447,p0104,2025-01-03 14:08:00+00:00,2025-01-03,2025-01,ES,EU,clothing,paid,USD,84.08,84.08
t0006924,c02217,p0098,2025-01-03 15:45:00+00:00,2025-01-03,2025-01,AR,LATAM,clothing,paid,BRL,20.82,3.7476
t0015603,c02859,p0113,2025-01-03 17:22:00+00:00,2025-01-03,2025-01,ES,EU,sports,paid,EUR,25.73,27.788400000000003
t0016284,c03200,p0081,2025-01-03 17:36:00+00:00,2025-01-03,2025-01,CO,LATAM,toys,paid,EUR,32.58,35.1864
t0015437,c01340,p0044,2025-01-03 17:45:00+00:00,2025-01-03,2025-01,PE,LATAM,toys,paid,BRL,23.62,4.2516
t0021330,c03144,p0093,2025-01-03 18:31:00+00:00,2025-01-03,2025-01,CL,LATAM,beauty,paid,USD,37.41,37.41
t0001305,c02240,p0043,2025-01-03 18:43:00+00:00,2025-01-03,2025-01,BR,LATAM,electronics,paid,BRL,183.35,33.003
t0002104,c02166,p0118,2025-01-03 19:04:00+00:00,2025-01-03,2025-01,DE,EU,electronics,paid,USD,277.94,277.94
t0018855,c02508,p0049,2025-01-03 19:10:00+00:00,2025-01-03,2025-01,CA,,home,paid,EUR,38.29,41.3532
t0003123,c03018,p0024,2025-01-03 19:35:00+00:00,2025-01-03,2025-01,US,,books,paid,EUR,13.62,14.7096
t0020415,c00525,p0048,2025-01-03 19:40:00+00:00,2025-01-03,2025-01,CO,LATAM,clothing,paid,BRL,155.3,27.954
t0019875,c01659,p0070,2025-01-03 19:43:00+00:00,2025-01-03,2025-01,CA,,sports,paid,EUR,253.75,274.05
t0015286,c02121,p0113,2025-01-03 19:47:00+00:00,2025-01-03,2025-01,PE,LATAM,sports,paid,EUR,99.6,107.568
t0014789,c02545,p0064,2025-01-03 20:08:00+00:00,2025-01-03,2025-01,CL,LATAM,books,paid,EUR,41.05,44.334
t0015285,c01944,p0025,2025-01-03 20:09:00+00:00,2025-01-03,2025-01,CO,LATAM,clothing,paid,USD,89.91,89.91
t0019058,c01329,p0005,2025-01-03 20:09:00+00:00,2025-01-03,2025-01,US,,electronics,paid,MXN,126.57,7.34106
t0004977,c00879,p0038,2025-01-03 20:20:00+00:00,2025-01-03,2025-01,,,electronics,cancelled,USD,171.22,171.22
t0008390,c00102,p0069,2025-01-03 20:25:00+00:00,2025-01-03,2025-01,CA,,electronics,refunded,EUR,211.5,228.42000000000002
t0003159,c02535,p0074,2025-01-03 20:46:00+00:00,2025-01-03,2025-01,PE,LATAM,beauty,paid,USD,33.09,33.09
t0014714,c00079,p0051,2025-01-03 20:57:00+00:00,2025-01-03,2025-01,US,,sports,refunded,USD,44.57,44.57
t0009250,c00828,p0029,2025-01-03 21:19:00+00:00,2025-01-03,2025-01,US,,home,paid,USD,25.28,25.28
t0014123,c01454,p0082,2025-01-03 21:21:00+00:00,2025-01-03,2025-01,CL,LATAM,home,paid,USD,184.31,184.31
t0005371,c00181,p0118,2025-01-03 21:33:00+00:00,2025-01-03,2025-01,US,,electronics,paid,MXN,377.38,21.88804
t0005219,c01166,p0010,2025-01-03 21:55:00+00:00,2025-01-03,2025-01,BR,LATAM,beauty,refunded,USD,33.14,33.14
t0012942,c02120,p0098,2025-01-03 22:11:00+00:00,2025-01-03,2025-01,US,,clothing,paid,USD,42.67,42.67
t0019607,c00529,p0056,2025-01-03 22:31:00+00:00,2025-01-03,2025-01,NL,EU,sports,paid,BRL,70.35,12.662999999999998
t0007524,c00055,p0024,2025-01-03 23:46:00+00:00,2025-01-03,2025-01,US,,books,refunded,USD,24.11,24.11
t0010775,c01809,p0063,2025-01-03 23:59:00+00:00,2025-01-03,2025-01,US,,toys,paid,USD,24.74,24.74
