date,region,country,category,total_usd,n
2025-01-03,LATAM,CL,beauty,37.41,1
2025-01-03,LATAM,CL,books,58.754000000000005,2
2025-01-03,LATAM,CL,electronics,169.54,1
2025-01-03,LATAM,CL,home,184.31,1
2025-01-03,LATAM,CO,clothing,117.864,2
2025-01-03,LATAM,CO,toys,35.1864,1
2025-01-03,LATAM,MX,books,66.1028,3
2025-01-03,LATAM,MX,sports,85.24440000000001,1
2025-01-03,LATAM,PE,beauty,33.09,1
2025-01-03,LATAM,PE,books,4.1292,1
2025-01-03,LATAM,PE,electronics,702.1124,2
2025-01-03,LATAM,PE,sports,107.568,1
2025-01-03,LATAM,PE,toys,4.2516,1
2025-01-04,EU,DE,home,216.76680000000002,1
2025-01-04,EU,ES,beauty,10.33,1
2025-01-04,EU,ES,books,14.26,1
2025-01-04,EU,ES,electronics,502.0,2
2025-01-04,EU,ES,home,103.27,1
2025-01-04,EU,FR,books,37.7144,2
2025-01-04,EU,FR,sports,67.67215999999999,2
2025-01-04,EU,IT,electronics,13.81792,1
2025-01-04,EU,IT,sports,252.288,1
2025-01-04,EU,NL,sports,146.77,1
2025-01-04,EU,NL,toys,26.5788,1
2025-01-04,EU,PT,books,0.6960000000000001,1
2025-01-04,EU,PT,electronics,305.87,1
2025-01-04,EU,PT,toys,11.12,1
2025-01-04,EU,SE,electronics,303.0804,1
2025-01-04,LATAM,AR,books,31.44952,3
2025-01-04,LATAM,AR,clothing,3.248,1
2025-01-04,LATAM,AR,sports,69.05,1
2025-01-04,LATAM,BR,books,39.9,1
2025-01-04,LATAM,BR,electronics,18.51882,1
2025-01-04,LATAM,BR,home,8.245800000000001,1
2025-01-04,LATAM,BR,sports,91.83,1
2025-01-04,LATAM,CO,books,26.15,1
2025-01-04,LATAM,CO,clothing,34.4,1
2025-01-04,LATAM,CO,sports,268.09,1
2025-01-04,LATAM,MX,beauty,18.15,1
2025-01-04,LATAM,MX,books,39.91,2
2025-01-04,LATAM,MX,toys,39.57,1
2025-01-04,LATAM,PE,books,5.1066,1
2025-01-05,EU,DE,beauty,33.88,1
2025-01-05,EU,DE,books,1.27426,1
2025-01-05,EU,DE,electronics,125.71,1
2025-01-05,EU,ES,beauty,47.44,1
2025-01-05,EU,ES,home,96.5952,2
2025-01-05,EU,ES,toys,1.0097800000000001,1
2025-01-05,EU,FR,books,27.8,1
2025-01-05,EU,FR,clothing,41.1696,1
2025-01-05,EU,FR,electronics,764.9956,2
2025-01-05,EU,IT,beauty,108.48,1
2025-01-05,EU,IT,books,26.389200000000002,2
2025-01-05,EU,IT,toys,56.11,1
2025-01-05,EU,NL,beauty,4.2299999999999995,1
2025-01-05,EU,NL,clothing,66.53,1
2025-01-05,EU,NL,electronics,686.3268,2
2025-01-05,EU,SE,electronics,31.23388,2
2025-01-05,LATAM,AR,beauty,106.81200000000001,1
2025-01-05,LATAM,AR,home,136.458,1
2025-01-05,LATAM,AR,sports,30.92,1
2025-01-05,LATAM,AR,toys,3.76768,1
2025-01-05,LATAM,BR,beauty,17.67,1
2025-01-05,LATAM,BR,clothing,25.20944,2
2025-01-05,LATAM,BR,electronics,110.78,1
2025-01-05,LATAM,BR,sports,83.47,1
2025-01-05,LATAM,CL,books,3.0924,1
2025-01-05,LATAM,CL,electronics,707.64,3
2025-01-05,LATAM,CL,home,55.2,2
2025-01-05,LATAM,CO,beauty,49.723200000000006,1
2025-01-05,LATAM,CO,electronics,99.69,1
2025-01-05,LATAM,MX,electronics,466.54359999999997,2
2025-01-05,LATAM,MX,toys,28.2528,1
2025-01-05,LATAM,PE,clothing,106.6036,2
2025-01-05,LATAM,PE,electronics,159.9912,1
2025-01-06,EU,DE,books,2.70802,1
2025-01-06,EU,DE,clothing,63.93,1
2025-01-06,EU,DE,electronics,73.38600000000001,1
2025-01-06,EU,ES,electronics,486.37800000000004,2
2025-01-06,EU,ES,home,87.31,1
2025-01-06,EU,ES,toys,27.65,1
2025-01-06,EU,IT,electronics,5.83306,1
2025-01-06,EU,PT,beauty,50.87,1
2025-01-06,EU,PT,home,228.4956,1
2025-01-06,EU,PT,toys,12.48,1
2025-01-06,EU,SE,electronics,452.00160000000005,2
2025-01-06,LATAM,AR,clothing,60.78252000000001,2
2025-01-06,LATAM,AR,electronics,144.27,1
2025-01-06,LATAM,AR,sports,180.79,1
2025-01-06,LATAM,AR,toys,29.65,1
2025-01-06,LATAM,BR,beauty,85.2744,2
2025-01-06,LATAM,BR,books,3.2885999999999997,1
2025-01-06,LATAM,BR,electronics,29.235599999999998,1
2025-01-06,LATAM,BR,home,109.3,1
2025-01-06,LATAM,CL,beauty,15.940800000000001,1
2025-01-06,LATAM,CL,electronics,313.3556,2
2025-01-06,LATAM,CL,sports,117.96,1
2025-01-06,LATAM,CO,electronics,107.34,2
2025-01-06,LATAM,CO,home,10.267199999999999,1
2025-01-06,LATAM,MX,books,6.372,1
2025-01-06,LATAM,MX,clothing,23.44,1
2025-01-06,LATAM,MX,home,8.3106,1
2025-01-06,LATAM,PE,beauty,46.28,1
2025-01-06,LATAM,PE,clothing,25.62,1
2025-01-07,EU,ES,books,31.4064,1
2025-01-07,EU,ES,electronics,274.94640000000004,1
2025-01-07,EU,ES,home,25.2144,1
2025-01-07,EU,ES,sports,138.8016,1
2025-01-07,EU,ES,toys,3.1068000000000002,1
2025-01-07,EU,FR,clothing,1.8049600000000001,1
2025-01-07,EU,FR,electronics,508.2,1
2025-01-07,EU,FR,sports,79.22,1
2025-01-07,EU,IT,electronics,565.8605,3
2025-01-07,EU,NL,beauty,49.38,1
2025-01-07,EU,NL,books,55.458,2
2025-01-07,EU,NL,clothing,5.4259,1
2025-01-07,EU,NL,home,12.229199999999999,1
2025-01-07,EU,PT,clothing,4.534440000000001,1
2025-01-07,EU,SE,beauty,62.21,1
2025-01-07,EU,SE,clothing,43.72,1
2025-01-07,EU,SE,home,57.99,1
2025-01-07,LATAM,AR,books,13.72,1
2025-01-07,LATAM,AR,electronics,156.2,1
2025-01-07,LATAM,AR,home,154.84,1
2025-01-07,LATAM,AR,toys,1.3711200000000001,1
2025-01-07,LATAM,BR,books,12.1,1
2025-01-07,LATAM,BR,clothing,53.514,1
2025-01-07,LATAM,BR,electronics,221.99,1
2025-01-07,LATAM,BR,home,130.0752,1
2025-01-07,LATAM,BR,sports,2.00158,1
2025-01-07,LATAM,CL,beauty,97.28999999999999,2
2025-01-07,LATAM,CL,sports,33.97,1
2025-01-07,LATAM,CO,beauty,33.13,1
2025-01-07,LATAM,MX,beauty,48.443200000000004,2
2025-01-07,LATAM,MX,books,18.92,1
2025-01-07,LATAM,MX,clothing,4.4312000000000005,1
2025-01-07,LATAM,MX,electronics,274.03920000000005,1
2025-01-07,LATAM,MX,sports,42.8,1
2025-01-07,LATAM,PE,beauty,45.44,1
2025-01-07,LATAM,PE,sports,1.4703000000000002,1
2025-01-08,EU,DE,clothing,66.6,1
2025-01-08,EU,DE,electronics,57.7818,1
2025-01-08,EU,ES,beauty,81.172,2
2025-01-08,EU,ES,books,20.682000000000002,2
2025-01-08,EU,FR,electronics,350.2,1
2025-01-08,EU,FR,toys,26.125200000000003,1
2025-01-08,EU,IT,beauty,64.03320000000001,1
2025-01-08,EU,IT,clothing,57.63,1
2025-01-08,EU,NL,books,20.8548,1
2025-01-08,EU,SE,books,15.53,1
2025-01-08,LATAM,AR,beauty,28.52,1
2025-01-08,LATAM,AR,electronics,423.15,1
2025-01-08,LATAM,AR,home,18.31,1
2025-01-08,LATAM,BR,clothing,8.102599999999999,3
2025-01-08,LATAM,BR,electronics,99.41,1
2025-01-08,LATAM,BR,toys,29.363040000000005,3
2025-01-08,LATAM,CL,beauty,14.3316,1
2025-01-08,LATAM,CL,books,52.84,1
2025-01-08,LATAM,CL,electronics,8.5985,1
2025-01-08,LATAM,CL,home,55.11240000000001,1
2025-01-08,LATAM,CO,books,14.32,1
2025-01-08,LATAM,CO,clothing,93.2364,1
2025-01-08,LATAM,CO,home,49.5936,1
2025-01-08,LATAM,PE,beauty,20.22,1
2025-01-08,LATAM,PE,books,24.89,1
2025-01-08,LATAM,PE,clothing,2.4412200000000004,1
2025-01-08,LATAM,PE,electronics,189.31,1
2025-01-08,LATAM,PE,sports,33.0696,1
2025-01-09,EU,ES,beauty,90.6876,1
2025-01-09,EU,ES,books,39.44,1
2025-01-09,EU,FR,clothing,181.6792,2
2025-01-09,EU,FR,electronics,279.6542,2
2025-01-09,EU,IT,clothing,79.16,1
2025-01-09,EU,IT,electronics,38.2158,1
2025-01-09,EU,IT,home,60.8,1
2025-01-09,EU,IT,sports,2.8083600000000004,1
2025-01-09,EU,NL,books,33.03,2
2025-01-09,EU,NL,home,36.6228,1
2025-01-09,EU,PT,clothing,2.1639800000000005,1
2025-01-09,EU,PT,electronics,43.2558,1
2025-01-09,EU,SE,books,8.3142,1
2025-01-09,EU,SE,electronics,144.28,1
2025-01-09,LATAM,AR,home,112.03,1
2025-01-09,LATAM,BR,beauty,146.75240000000002,2
2025-01-09,LATAM,BR,toys,98.7228,2
2025-01-09,LATAM,CL,beauty,41.49360000000001,1
2025-01-09,LATAM,CL,books,38.03,2
2025-01-09,LATAM,CL,clothing,28.66,1
2025-01-09,LATAM,CL,electronics,221.26,1
2025-01-09,LATAM,CL,home,63.09,1
2025-01-09,LATAM,CO,clothing,58.4568,2
2025-01-09,LATAM,CO,electronics,232.84,1
2025-01-09,LATAM,CO,sports,57.58,1
2025-01-09,LATAM,CO,toys,20.422800000000002,1
2025-01-09,LATAM,MX,clothing,23.74,1
2025-01-09,LATAM,MX,electronics,177.95759999999999,2
2025-01-09,LATAM,MX,toys,70.7508,2
2025-01-09,LATAM,PE,clothing,111.9852,1
2025-01-10,EU,DE,books,22.6,1
2025-01-10,EU,DE,clothing,94.26240000000001,1
2025-01-10,EU,DE,sports,45.36,1
2025-01-10,EU,DE,toys,28.090800000000005,1
2025-01-10,EU,ES,books,16.7508,1
2025-01-10,EU,ES,home,52.07,1
2025-01-10,EU,FR,home,6.2082,1
2025-01-10,EU,IT,books,17.090400000000002,2
2025-01-10,EU,IT,clothing,39.7,1
2025-01-10,EU,IT,sports,47.1096,1
2025-01-10,EU,PT,sports,67.26,1
2025-01-10,EU,SE,electronics,69.5952,1
2025-01-10,LATAM,AR,beauty,22.788000000000004,1
2025-01-10,LATAM,AR,books,5.0184,1
2025-01-10,LATAM,AR,clothing,29.08,1
2025-01-10,LATAM,BR,books,15.71,1
2025-01-10,LATAM,BR,clothing,63.05,1
2025-01-10,LATAM,BR,electronics,190.34,1
2025-01-10,LATAM,BR,home,43.48,1
2025-01-10,LATAM,CL,books,39.8844,1
2025-01-10,LATAM,CL,toys,32.324400000000004,1
2025-01-10,LATAM,CO,beauty,31.29,1
2025-01-10,LATAM,CO,books,8.39,1
2025-01-10,LATAM,CO,sports,118.298,2
2025-01-10,LATAM,MX,books,7.61,1
2025-01-10,LATAM,PE,home,151.36,1
2025-01-11,EU,DE,beauty,5.3568,1
2025-01-11,EU,DE,electronics,84.71520000000001,1
2025-01-11,EU,ES,clothing,76.1132,2
2025-01-11,EU,ES,home,74.37,1
2025-01-11,EU,FR,books,57.4696,3
2025-01-11,EU,FR,clothing,67.17,1
2025-01-11,EU,IT,books,17.87,1
2025-01-11,EU,NL,beauty,44.07,1
2025-01-11,EU,NL,books,15.77,1
2025-01-11,EU,SE,electronics,40.608,1
2025-01-11,LATAM,AR,beauty,10.503,1
2025-01-11,LATAM,AR,books,26.958800000000004,2
2025-01-11,LATAM,BR,beauty,64.37960000000001,2
2025-01-11,LATAM,BR,clothing,136.19,3
2025-01-11,LATAM,BR,electronics,156.31,1
2025-01-11,LATAM,BR,home,61.150000000000006,2
2025-01-11,LATAM,BR,toys,23.965200000000003,1
2025-01-11,LATAM,CL,home,14.7348,1
2025-01-11,LATAM,CO,beauty,29.6,1
2025-01-11,LATAM,CO,books,15.9732,1
2025-01-11,LATAM,CO,clothing,50.7922,2
2025-01-11,LATAM,CO,home,29.21,1
2025-01-11,LATAM,MX,clothing,21.7548,1
2025-01-11,LATAM,MX,electronics,599.5276,3
2025-01-11,LATAM,MX,sports,48.2,1
2025-01-11,LATAM,MX,toys,45.846000000000004,1
2025-01-11,LATAM,PE,books,15.69,1
2025-01-11,LATAM,PE,clothing,183.44880000000003,1
2025-01-11,LATAM,PE,home,117.36,1
2025-01-12,EU,DE,books,26.71,1
2025-01-12,EU,DE,electronics,410.4972,1
2025-01-12,EU,ES,beauty,44.7,2
2025-01-12,EU,ES,clothing,65.71,1
2025-01-12,EU,ES,home,68.23,1
2025-01-12,EU,FR,clothing,49.65,1
2025-01-12,EU,FR,electronics,181.55,1
2025-01-12,EU,FR,sports,82.85,1
2025-01-12,EU,IT,beauty,41.3964,1
2025-01-12,EU,IT,books,10.324800000000002,1
2025-01-12,EU,NL,beauty,53.05,1
2025-01-12,EU,NL,electronics,338.51,1
2025-01-12,EU,PT,electronics,305.58,1
2025-01-12,EU,SE,electronics,271.5,1
2025-01-12,LATAM,AR,clothing,56.94,1
2025-01-12,LATAM,AR,electronics,323.13,1
2025-01-12,LATAM,AR,toys,1.5439600000000002,1
2025-01-12,LATAM,BR,books,26.287200000000002,1
2025-01-12,LATAM,BR,electronics,366.52598,3
2025-01-12,LATAM,CL,beauty,52.28,1
2025-01-12,LATAM,CO,clothing,44.87,1
2025-01-12,LATAM,CO,electronics,202.69440000000003,1
2025-01-12,LATAM,MX,beauty,55.33,1
2025-01-12,LATAM,MX,electronics,207.28440000000003,1
2025-01-12,LATAM,PE,electronics,13.46122,1
2025-01-13,EU,DE,books,12.04,1
2025-01-13,EU,DE,clothing,63.69,1
2025-01-13,EU,DE,electronics,482.91,1
2025-01-13,EU,DE,sports,5.9850200000000005,1
2025-01-13,EU,ES,books,38.959999999999994,2
2025-01-13,EU,FR,clothing,40.64,1
2025-01-13,EU,IT,clothing,47.995200000000004,1
2025-01-13,EU,NL,books,29.592,1
2025-01-13,EU,PT,books,9.23,1
2025-01-13,EU,SE,beauty,21.01,1
2025-01-13,LATAM,AR,books,26.94,1
2025-01-13,LATAM,BR,beauty,24.4,1
2025-01-13,LATAM,BR,clothing,35.6,1
2025-01-13,LATAM,BR,electronics,293.67,1
2025-01-13,LATAM,BR,home,5.1475,1
2025-01-13,LATAM,BR,sports,42.498000000000005,1
2025-01-13,LATAM,CL,beauty,58.17622000000001,2
2025-01-13,LATAM,CL,sports,35.16480000000001,1
2025-01-13,LATAM,MX,beauty,2.21618,1
2025-01-13,LATAM,MX,books,17.72,1
2025-01-13,LATAM,MX,electronics,126.71,1
2025-01-13,LATAM,PE,books,0.52316,1
2025-01-13,LATAM,PE,electronics,309.59280000000007,1
2025-01-14,EU,DE,electronics,52.5834,1
2025-01-14,EU,DE,sports,75.88,1
2025-01-14,EU,ES,books,10.92,1
2025-01-14,EU,ES,clothing,200.48,1
2025-01-14,EU,ES,sports,34.67,1
2025-01-14,EU,FR,books,7.71,1
2025-01-14,EU,FR,toys,69.44,1
2025-01-14,EU,IT,electronics,1113.2036,3
2025-01-14,EU,SE,books,17.11,1
2025-01-14,EU,SE,clothing,63.06,1
2025-01-14,EU,SE,electronics,374.2416,1
2025-01-14,LATAM,AR,books,27.68,1
2025-01-14,LATAM,BR,beauty,66.72,2
2025-01-14,LATAM,BR,electronics,299.6055,2
2025-01-14,LATAM,BR,sports,70.9128,1
2025-01-14,LATAM,BR,toys,18.94,1
2025-01-14,LATAM,CL,books,16.22,1
2025-01-14,LATAM,CL,clothing,2.1396200000000003,1
2025-01-14,LATAM,CO,beauty,55.27,1
2025-01-14,LATAM,CO,electronics,921.8704,2
2025-01-14,LATAM,MX,clothing,52.0992,1
2025-01-14,LATAM,MX,home,7.2126,1
2025-01-14,LATAM,MX,sports,109.24,1
2025-01-14,LATAM,MX,toys,83.13,2
2025-01-14,LATAM,PE,books,35.51,1
2025-01-14,LATAM,PE,home,57.82,1
2025-01-15,EU,DE,books,41.705600000000004,2
2025-01-15,EU,DE,electronics,260.1,1
2025-01-15,EU,DE,home,38.54,1
2025-01-15,EU,ES,beauty,28.04,1
2025-01-15,EU,ES,clothing,48.01,1
2025-01-15,EU,ES,electronics,193.7628,1
2025-01-15,EU,ES,toys,58.61,2
2025-01-15,EU,FR,beauty,3.0421000000000005,1
2025-01-15,EU,FR,clothing,89.73720000000002,1
2025-01-15,EU,FR,electronics,6.64042,1
2025-01-15,EU,FR,toys,19.17,1
2025-01-15,EU,IT,beauty,69.1364,2
2025-01-15,EU,IT,electronics,299.18,1
2025-01-15,EU,IT,sports,40.5756,1
2025-01-15,EU,NL,electronics,225.79,1
2025-01-15,EU,PT,books,25.434,1
2025-01-15,EU,SE,beauty,57.18600000000001,1
2025-01-15,LATAM,AR,electronics,25.554599999999997,1
2025-01-15,LATAM,BR,books,61.5784,2
2025-01-15,LATAM,BR,electronics,128.09,1
2025-01-15,LATAM,BR,toys,60.7368,2
2025-01-15,LATAM,CL,clothing,24.9264,1
2025-01-15,LATAM,CL,sports,24.46,1
2025-01-15,LATAM,CO,beauty,117.60300000000001,2
2025-01-15,LATAM,CO,home,4.08436,1
2025-01-15,LATAM,MX,books,4.0662,1
2025-01-15,LATAM,MX,home,96.40080000000002,1
2025-01-15,LATAM,MX,sports,24.97,1
2025-01-15,LATAM,PE,books,59.510000000000005,2
2025-01-16,EU,DE,clothing,46.2456,1
2025-01-16,EU,ES,clothing,70.66440000000001,1
2025-01-16,EU,ES,home,32.0321,2
2025-01-16,EU,ES,toys,0.6217600000000001,1
2025-01-16,EU,FR,beauty,57.5,1
2025-01-16,EU,FR,books,58.629999999999995,2
2025-01-16,EU,IT,beauty,27.421200000000002,1
2025-01-16,EU,IT,clothing,5.858999999999999,1
2025-01-16,EU,IT,electronics,231.62752,3
2025-01-16,EU,IT,sports,35.96,1
2025-01-16,EU,IT,toys,11.502,1
2025-01-16,EU,NL,books,16.81,1
2025-01-16,EU,NL,electronics,94.82,1
2025-01-16,EU,NL,sports,144.72,1
2025-01-16,EU,NL,toys,17.08,1
2025-01-16,EU,PT,electronics,214.14,1
2025-01-16,EU,SE,books,30.240000000000002,1
2025-01-16,LATAM,AR,clothing,110.92,1
2025-01-16,LATAM,AR,home,4.06348,1
2025-01-16,LATAM,BR,books,32.0799,2
2025-01-16,LATAM,BR,clothing,64.3464,1
2025-01-16,LATAM,BR,home,117.2664,1
2025-01-16,LATAM,BR,sports,77.03,1
2025-01-16,LATAM,CO,beauty,6.269399999999999,1
2025-01-16,LATAM,CO,books,45.84,1
2025-01-16,LATAM,CO,electronics,156.0384,1
2025-01-16,LATAM,PE,clothing,75.46,1
2025-01-17,EU,DE,clothing,32.77,1
2025-01-17,EU,ES,beauty,1.0904,1
2025-01-17,EU,ES,clothing,53.05199999999999,2
2025-01-17,EU,FR,books,15.746,2
2025-01-17,EU,FR,clothing,124.71959999999999,2
2025-01-17,EU,FR,sports,56.66,1
2025-01-17,EU,IT,books,27.21,1
2025-01-17,EU,IT,electronics,465.14,2
2025-01-17,EU,IT,home,37.84,1
2025-01-17,EU,IT,sports,51.699600000000004,1
2025-01-17,EU,IT,toys,17.5,1
2025-01-17,EU,PT,clothing,65.92,1
2025-01-17,EU,PT,electronics,216.99,1
2025-01-17,LATAM,AR,books,28.522800000000004,1
2025-01-17,LATAM,AR,clothing,22.809600000000003,1
2025-01-17,LATAM,AR,electronics,20.880000000000003,1
2025-01-17,LATAM,BR,books,13.93,1
2025-01-17,LATAM,BR,electronics,483.4908,2
2025-01-17,LATAM,CL,beauty,13.45,1
2025-01-17,LATAM,CL,books,33.54,2
2025-01-17,LATAM,CL,clothing,62.04,2
2025-01-17,LATAM,CL,toys,23.814000000000004,1
2025-01-17,LATAM,CO,clothing,37.187999999999995,1
2025-01-17,LATAM,CO,electronics,449.73,1
2025-01-17,LATAM,CO,home,106.1404,2
2025-01-17,LATAM,MX,clothing,81.53,1
2025-01-17,LATAM,PE,electronics,23.2506,1
2025-01-17,LATAM,PE,sports,7.92512,1
2025-01-18,EU,DE,beauty,16.0486,2
2025-01-18,EU,DE,electronics,183.06,2
2025-01-18,EU,ES,clothing,39.34,1
2025-01-18,EU,ES,electronics,123.06,1
2025-01-18,EU,ES,home,114.56,1
2025-01-18,EU,FR,books,39.62,1
2025-01-18,EU,FR,clothing,55.0584,1
2025-01-18,EU,FR,home,62.62,1
2025-01-18,EU,FR,toys,22.09,1
2025-01-18,EU,NL,beauty,71.063,2
2025-01-18,EU,NL,books,17.55,1
2025-01-18,EU,PT,books,23.338800000000003,1
2025-01-18,EU,PT,home,4.384799999999999,1
2025-01-18,EU,SE,electronics,160.57999999999998,2
2025-01-18,EU,SE,home,23.943600000000004,1
2025-01-18,LATAM,AR,books,10.73,1
2025-01-18,LATAM,AR,electronics,1105.5204,1
2025-01-18,LATAM,AR,home,22.4,1
2025-01-18,LATAM,AR,toys,12.57,1
2025-01-18,LATAM,BR,beauty,20.2,1
2025-01-18,LATAM,BR,books,12.65,1
2025-01-18,LATAM,BR,electronics,898.9146000000001,3
2025-01-18,LATAM,CL,clothing,43.0,1
2025-01-18,LATAM,CL,electronics,455.83,1
2025-01-18,LATAM,CO,electronics,350.3412,1
2025-01-18,LATAM,CO,sports,5.50014,1
2025-01-18,LATAM,CO,toys,60.30720000000001,1
2025-01-18,LATAM,MX,books,42.845400000000005,2
2025-01-18,LATAM,MX,electronics,17.01662,1
2025-01-18,LATAM,PE,beauty,17.4204,1
2025-01-18,LATAM,PE,books,10.400400000000001,1
2025-01-18,LATAM,PE,electronics,394.27,1
2025-01-18,LATAM,PE,home,11.40106,1
2025-01-19,EU,DE,books,32.918400000000005,1
2025-01-19,EU,ES,electronics,211.51,1
2025-01-19,EU,ES,toys,28.23,1
2025-01-19,EU,FR,beauty,86.8424,2
2025-01-19,EU,FR,electronics,482.19440000000003,2
2025-01-19,EU,IT,clothing,62.467200000000005,1
2025-01-19,EU,IT,electronics,281.39,1
2025-01-19,EU,IT,home,168.06,1
2025-01-19,EU,IT,toys,34.4,1
2025-01-19,EU,NL,home,52.02,1
2025-01-19,EU,NL,sports,60.555600000000005,1
2025-01-19,EU,PT,beauty,52.34,2
2025-01-19,EU,PT,toys,31.76,1
2025-01-19,LATAM,AR,books,31.752,1
2025-01-19,LATAM,AR,clothing,16.076839999999997,2
2025-01-19,LATAM,AR,electronics,434.09,1
2025-01-19,LATAM,AR,sports,84.89,1
2025-01-19,LATAM,BR,beauty,1.23888,1
2025-01-19,LATAM,BR,home,84.97,1
2025-01-19,LATAM,CL,beauty,103.3636,2
2025-01-19,LATAM,CL,books,56.41,1
2025-01-19,LATAM,CL,clothing,106.95,1
2025-01-19,LATAM,CO,beauty,12.97,1
2025-01-19,LATAM,MX,beauty,44.26,1
2025-01-19,LATAM,MX,electronics,446.8896000000001,3
2025-01-19,LATAM,MX,home,59.2164,1
2025-01-19,LATAM,PE,beauty,19.09,1
2025-01-19,LATAM,PE,electronics,410.2,1
2025-01-19,LATAM,PE,home,37.01160000000001,1
2025-01-20,EU,DE,electronics,338.43,2
2025-01-20,EU,DE,sports,35.15,1
2025-01-20,EU,ES,beauty,289.5236,4
2025-01-20,EU,ES,clothing,10.5282,1
2025-01-20,EU,ES,electronics,807.9,3
2025-01-20,EU,FR,clothing,138.5824,2
2025-01-20,EU,FR,electronics,136.59840000000003,1
2025-01-20,EU,FR,toys,37.07,1
2025-01-20,EU,IT,electronics,377.65999999999997,2
2025-01-20,EU,NL,electronics,110.02,1
2025-01-20,EU,PT,sports,27.77,1
2025-01-20,EU,SE,books,1.09388,1
2025-01-20,LATAM,AR,beauty,80.74,1
2025-01-20,LATAM,AR,clothing,6.951599999999999,1
2025-01-20,LATAM,AR,electronics,478.01,2
2025-01-20,LATAM,AR,sports,188.05,1
2025-01-20,LATAM,BR,beauty,28.33,1
2025-01-20,LATAM,BR,clothing,27.83,1
2025-01-20,LATAM,BR,home,78.72,1
2025-01-20,LATAM,CL,books,10.13,1
2025-01-20,LATAM,CL,home,20.3364,1
2025-01-20,LATAM,CO,electronics,22.5216,1
2025-01-20,LATAM,CO,home,323.5356,1
